fecha,hora,municipio,total_municipio,hospitalizados_municipio,altas_municipio,decesos_municipio,sospechosos_hospitalizados_municipio
2020-04-16,19:00:00,Monclova,123,5,33,12,26
2020-04-16,19:00:00,Torreón,25,5,1,1,0
2020-04-16,19:00:00,Saltillo,30,1,3,1,0
2020-04-16,19:00:00,Piedras Negras,16,0,0,0,0
2020-04-16,19:00:00,Acuña,4,0,0,2,0
2020-04-16,19:00:00,San Juan de Sabinas,3,0,0,1,0
2020-04-16,19:00:00,Sacramento,2,0,0,1,0
2020-04-16,19:00:00,Matamoros,9,0,0,2,0
2020-04-16,19:00:00,Frontera,6,0,0,0,0
2020-04-16,19:00:00,San Buenaventura,1,0,0,0,0
2020-04-16,19:00:00,Castaños,4,0,0,0,0
2020-04-16,19:00:00,Nadadores,1,0,0,0,0
2020-04-16,19:00:00,Ramos Arizpe,2,0,0,0,0
2020-04-16,19:00:00,Sabinas,1,0,0,0,0
2020-04-16,19:00:00,Cuatro Ciénegas,2,0,0,0,0
2020-04-16,19:00:00,Francisco I. Madero,1,0,0,0,0
